title,category,severity,description,resolution
MFA Failure,Security,P1,MFA Failure reported by employee. Incident ID INC0001. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Disk Space Alert,Database,P2,Disk Space Alert reported by employee. Incident ID INC0002. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Outlook Not Syncing,Security,P2,Outlook Not Syncing reported by employee. Incident ID INC0003. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Server Down,Software,P3,Server Down reported by employee. Incident ID INC0004. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
MFA Failure,Email,P3,MFA Failure reported by employee. Incident ID INC0005. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Firewall Block,Hardware,P3,Firewall Block reported by employee. Incident ID INC0006. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
WiFi Connectivity Issue,Account,P3,WiFi Connectivity Issue reported by employee. Incident ID INC0007. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Server Down,Server,P3,Server Down reported by employee. Incident ID INC0008. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Software Installation Failed,Email,P2,Software Installation Failed reported by employee. Incident ID INC0009. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Software Installation Failed,Security,P1,Software Installation Failed reported by employee. Incident ID INC0010. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Password Reset,Network,P1,Password Reset reported by employee. Incident ID INC0011. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
BitLocker Recovery,Email,P4,BitLocker Recovery reported by employee. Incident ID INC0012. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
File Share Access Denied,Network,P3,File Share Access Denied reported by employee. Incident ID INC0013. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Software Installation Failed,Email,P1,Software Installation Failed reported by employee. Incident ID INC0014. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Blue Screen Error,Email,P3,Blue Screen Error reported by employee. Incident ID INC0015. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
SSL Certificate Expired,Email,P1,SSL Certificate Expired reported by employee. Incident ID INC0016. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Printer Offline,Database,P3,Printer Offline reported by employee. Incident ID INC0017. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P3,DNS Resolution Failure reported by employee. Incident ID INC0018. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Email Delivery Failure,Server,P2,Email Delivery Failure reported by employee. Incident ID INC0019. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
BitLocker Recovery,Server,P2,BitLocker Recovery reported by employee. Incident ID INC0020. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Outlook Not Syncing,Hardware,P3,Outlook Not Syncing reported by employee. Incident ID INC0021. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P4,DNS Resolution Failure reported by employee. Incident ID INC0022. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Disk Space Alert,Software,P2,Disk Space Alert reported by employee. Incident ID INC0023. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Outlook Not Syncing,Database,P4,Outlook Not Syncing reported by employee. Incident ID INC0024. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Server Down,Server,P3,Server Down reported by employee. Incident ID INC0025. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
Database Connection Error,Account,P4,Database Connection Error reported by employee. Incident ID INC0026. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P2,DNS Resolution Failure reported by employee. Incident ID INC0027. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Disk Space Alert,Network,P2,Disk Space Alert reported by employee. Incident ID INC0028. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Disk Space Alert,Email,P4,Disk Space Alert reported by employee. Incident ID INC0029. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Database Connection Error,Network,P1,Database Connection Error reported by employee. Incident ID INC0030. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
DNS Resolution Failure,Database,P2,DNS Resolution Failure reported by employee. Incident ID INC0031. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
DNS Resolution Failure,Account,P4,DNS Resolution Failure reported by employee. Incident ID INC0032. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
WiFi Connectivity Issue,Email,P1,WiFi Connectivity Issue reported by employee. Incident ID INC0033. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
File Share Access Denied,Email,P4,File Share Access Denied reported by employee. Incident ID INC0034. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for email, verified service restored and closed the ticket."
Laptop Slow Performance,Software,P4,Laptop Slow Performance reported by employee. Incident ID INC0035. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Server Down,Account,P2,Server Down reported by employee. Incident ID INC0036. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
BitLocker Recovery,Hardware,P2,BitLocker Recovery reported by employee. Incident ID INC0037. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
MFA Failure,Server,P4,MFA Failure reported by employee. Incident ID INC0038. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for server, verified service restored and closed the ticket."
File Share Access Denied,Network,P3,File Share Access Denied reported by employee. Incident ID INC0039. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for network, verified service restored and closed the ticket."
Printer Offline,Software,P4,Printer Offline reported by employee. Incident ID INC0040. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
Printer Offline,Software,P3,Printer Offline reported by employee. Incident ID INC0041. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for software, verified service restored and closed the ticket."
WiFi Connectivity Issue,Hardware,P1,WiFi Connectivity Issue reported by employee. Incident ID INC0042. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
Blue Screen Error,Security,P3,Blue Screen Error reported by employee. Incident ID INC0043. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
Disk Space Alert,Account,P1,Disk Space Alert reported by employee. Incident ID INC0044. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Printer Offline,Database,P3,Printer Offline reported by employee. Incident ID INC0045. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
File Share Access Denied,Database,P3,File Share Access Denied reported by employee. Incident ID INC0046. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for database, verified service restored and closed the ticket."
Email Delivery Failure,Account,P1,Email Delivery Failure reported by employee. Incident ID INC0047. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for account, verified service restored and closed the ticket."
Disk Space Alert,Hardware,P2,Disk Space Alert reported by employee. Incident ID INC0048. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for hardware, verified service restored and closed the ticket."
WiFi Connectivity Issue,Security,P2,WiFi Connectivity Issue reported by employee. Incident ID INC0049. Investigation required.,"Diagnosed the issue, applied standard troubleshooting for security, verified service restored and closed the ticket."
